         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.286    3.286    3.376    3.376 {method 'mainloop' of '_tkinter.tkapp' objects}
      597    0.210    0.000    0.210    0.000 {built-in method nt.stat}
  757/756    0.191    0.000    0.192    0.000 {method 'call' of '_tkinter.tkapp' objects}
      153    0.181    0.001    0.181    0.001 {method 'read' of '_io.BufferedReader' objects}
      153    0.127    0.001    0.127    0.001 {built-in method _io.open_code}
       34    0.108    0.003    0.108    0.003 {built-in method _io.open}
        1    0.052    0.052    0.052    0.052 {built-in method _tkinter.create}
     7275    0.045    0.000    0.084    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:879(cleandoc)
      153    0.036    0.000    0.036    0.000 {built-in method marshal.loads}
        2    0.032    0.016    0.032    0.016 {built-in method _wmi.exec_query}
        6    0.030    0.005    0.030    0.005 {method 'connect' of '_mysql_connector.MySQL' objects}
      186    0.028    0.000    0.028    0.000 {method '__exit__' of '_io._IOBase' objects}
      223    0.020    0.000    0.060    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1442(get_aliases)
    10411    0.017    0.000    0.017    0.000 {method 'search' of 're.Pattern' objects}
      447    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
    94187    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
      223    0.012    0.000    0.037    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1517(get_setters)
146604/145058    0.011    0.000    0.012    0.000 {built-in method builtins.len}
       30    0.011    0.000    0.134    0.004 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:860(_rc_params_in_file)
       15    0.011    0.001    0.011    0.001 {built-in method nt.listdir}
    65855    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
  820/721    0.010    0.000    0.292    0.000 {built-in method builtins.__build_class__}
    76891    0.010    0.000    0.010    0.000 {method 'lstrip' of 'str' objects}
        6    0.010    0.002    0.010    0.002 {built-in method _imp.create_dynamic}
     4252    0.009    0.000    0.120    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1470(get_valid_values)
64367/64341    0.008    0.000    0.012    0.000 {built-in method builtins.isinstance}
    53388    0.008    0.000    0.008    0.000 {built-in method builtins.min}
     6182    0.007    0.000    0.012    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2729(__init__)
     1072    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
13654/13645    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
      153    0.006    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
  373/176    0.005    0.000    0.014    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
      689    0.005    0.000    0.015    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2368(_signature_from_function)
     8872    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     6650    0.005    0.000    0.031    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
     7315    0.004    0.000    0.079    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:860(getdoc)
       12    0.004    0.000    0.004    0.000 {method 'query' of '_mysql_connector.MySQL' objects}
    31323    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      930    0.004    0.000    0.006    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:3015(__init__)
      117    0.004    0.000    0.146    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1598(pprint_setters)
     5768    0.003    0.000    0.035    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:174(search)
     4252    0.003    0.000    0.008    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1555(aliased_name)
    10092    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
     7287    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
  769/703    0.003    0.000    0.021    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2463(_signature_from_callable)
        1    0.003    0.003    0.003    0.003 {method 'readlines' of '_io._IOBase' objects}
      105    0.003    0.000    0.224    0.002 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:159(_update_set_signature_and_docstring)
  862/175    0.003    0.000    0.006    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
    32587    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      407    0.002    0.000    0.004    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:249(__set_name__)
      216    0.002    0.000    0.175    0.001 <frozen importlib._bootstrap_external>:1590(find_spec)
     6554    0.002    0.000    0.004    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:713(__call__)
       40    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
